Date,Open,High,Low,Close,Volume,Dividends,Stock splits
2025-07-01,16.979999542236328,17.479999542236328,16.510000228881836,16.829999923706055,0,0.0,0.0
2025-07-02,16.75,17.3700008392334,16.540000915527344,16.639999389648438,0,0.0,0.0
2025-07-03,16.649999618530273,16.829999923706055,16.139999389648438,16.3799991607666,0,0.0,0.0
2025-07-07,17.829999923706055,18.5,17.510000228881836,17.790000915527344,0,0.0,0.0
2025-07-08,17.40999984741211,17.440000534057617,16.540000915527344,16.809999465942383,0,0.0,0.0
2025-07-09,16.760000228881836,16.760000228881836,15.760000228881836,15.9399995803833,0,0.0,0.0
2025-07-10,16.229999542236328,16.239999771118164,15.699999809265137,15.779999732971191,0,0.0,0.0
2025-07-11,16.40999984741211,17.239999771118164,15.979999542236328,16.399999618530273,0,0.0,0.0
2025-07-14,17.729999542236328,17.850000381469727,16.90999984741211,17.200000762939453,0,0.0,0.0
2025-07-15,16.889999389648438,17.389999389648438,16.559999465942383,17.3799991607666,0,0.0,0.0
2025-07-16,17.65999984741211,19.479999542236328,16.690000534057617,17.15999984741211,0,0.0,0.0
2025-07-17,17.15999984741211,17.3700008392334,16.479999542236328,16.520000457763672,0,0.0,0.0
2025-07-18,16.43000030517578,16.809999465942383,16.280000686645508,16.40999984741211,0,0.0,0.0
2025-07-21,16.8700008392334,16.989999771118164,16.299999237060547,16.649999618530273,0,0.0,0.0
2025-07-22,16.75,17.479999542236328,16.43000030517578,16.5,0,0.0,0.0
2025-07-23,16.229999542236328,16.31999969482422,15.319999694824219,15.369999885559082,0,0.0,0.0
2025-07-24,15.390000343322754,15.539999961853027,14.949999809265137,15.390000343322754,0,0.0,0.0
2025-07-25,15.329999923706055,15.390000343322754,14.920000076293945,14.930000305175781,0,0.0,0.0
2025-07-28,15.149999618530273,15.539999961853027,15.0,15.029999732971191,0,0.0,0.0
2025-07-29,14.949999809265137,16.1200008392334,14.699999809265137,15.979999542236328,0,0.0,0.0
2025-07-30,15.869999885559082,17.270000457763672,15.4399995803833,15.479999542236328,0,0.0,0.0
2025-07-31,14.989999771118164,17.170000076293945,14.739999771118164,16.719999313354492,0,0.0,0.0
2025-08-01,17.399999618530273,21.899999618530273,17.389999389648438,20.3799991607666,0,0.0,0.0
2025-08-04,19.559999465942383,19.579999923706055,17.479999542236328,17.520000457763672,0,0.0,0.0
